ID;Nombre;Fundación (dd/mm/aaaa);Apodo;Sigla;Nombre Corto;Estadio;Sitio oficial (http://www.sitio.com);Twitter (sin @);ID DataFactory;ID Liga;ID País;Descripción;;;;
92;Olympique Gymnaste Club de Nice Côte d'Azur;07/09/1904;Les Aiglons, Le Gym;OGCN;Niza;Du Ray;http://www.ogcnice.com/;ogcnice;1729;9;75;;;;;
93;Football Club Lorient Bretagne Sud;04/02/1926;Les Merlus;FCL;Lorient;Du Moustoir;http://www.fclweb.fr/;FCLorientOff;1726;9;75;;;;;
94;Football Club Sochaux Montbéliard;1928;Les Lionceaux ;FCSM;Sochaux;Auguste Bonal;http://www.fcsochaux.fr/;FCSM_Officiel;1731;9;75;;;;;
95;Stade Brestois 29;26/6/1950;SB29;SB29;Brest;Francis Le Blé;http://www.sb29.com/;SB29_Brest;2291;9;75;;;;;
96;Athletic Club Ajaccien;1910;L'ours;ACA;Ajaccio;François Coty;http://www.ac-ajaccio.com/;AcaSiteOfficiel ;2166;9;75;;;;;
97;Sporting Club de Bastia;1905;Les Bleus;SCB;Bastia;Armand Cesari;http://www.sc-bastia.com/;s_c_bastia;;9;75;;;;;
98;Stade de Reims;18/6/1931;Les rouges et blancs;SR;Reims;Auguste Delaune;http://www.stade-de-reims.com/;Stade_de_Reims;;9;75;;;;;
99;Espérance Sportive Troyes Aube Champagne;27/6/1986;ESTAC Troyes;ESTAC;Troyes;De l'Aube;http://www.estac.fr/;estac_officiel;;9;75;;;;;
100;Manchester City Football Club;1880;The Citizens;MCF;Manchester City;Etihad ;http://www.mcfc.co.uk/;mcfc;567;6;181;;;;;
101;Manchester United Football Club;1878;The Red Devils ;MUFC;Manchester United;Old Trafford;http://www.manutd.com/;;568;6;181;;;;;
102;Arsenal Football Club;1886;The Gunners ;AFC;Arsenal;Emirates ;http://www.arsenal.com/;Arsenal;558;6;181;;;;;
103;Tottenham Hotspur Football Club;1882;The Spurs;THFC;Tottenham ;White Hart Lane;http://www.tottenhamhotspur.com/;SpursOfficial;574;6;181;;;;;
104;Newcastle United Football Club;1892;The Magpies;NUFC;Newcastle;Sports Direct Arena ;http://www.nufc.co.uk/;NUFCOfficial;570;6;181;;;;;
105;Chelsea Football Club;03/10/1905;The Blues;CFC;Chelsea;Stamford Bridge;http://www.chelseafc.com/;chelseafc;563;6;181;;;;;
106;Everton Football Club;1878;The Toffees;EFC;Everton;Goodison Park;http://www.evertonfc.com/;Everton ;564;6;181;;;;;
107;Liverpool Football Club;3/6/1892;The Reds;LFC;Liverpool;Anfield;http://www.liverpoolfc.tv/;LFC;566;6;181;;;;;
108;Fulham Football Club;16/8/1879;The Cottagers;FFC;Fulham;Craven Cottage;http://www.fulhamfc.com/;FulhamFC;565;6;181;;;;;
109;West Bromwich Albion Football Club;1878;The Baggies, TheThrostles;WBA;West Bromwich ;The Hawthorns;http://www.wba.co.uk/;WBAFCofficial;1263;6;181;;;;;
110;Swansea City Association Football Club;1912;The Swans;SCA;Swansea ;Liberty ;http://www.swanseacity.net/;SwansOfficial;3302;6;181;;;;;
111;Norwich City Football Club;17/6/1902;The Canaries ;NCFC;Norwich ;Carrow Road;http://www.canaries.co.uk/;NorwichCityFC ;3301;6;181;;;;;
112;Sunderland Association Football Club;1879;The Black Cats ;SAFC;Sunderland;Of Light;http://www.safc.com/;SAFCofficial;704;6;181;;;;;
113;Stoke City Football Club;1863;The Potters;SCFC;Stoke ;Britannia ;http://www.stokecityfc.com/;OfficialSCFC ;1262;6;181;;;;;
114;Wigan Athletic Football Club;1932;The Latics;WAFC;Wigan ;DW Stadium;http://www.wiganlatics.co.uk/;LaticsOfficial;577;6;181;;;;;
115;Aston Villa Football Club;1874;The Villans;AVFC;Aston Villa;Villa Park;http://www.avfc.co.uk/;AVFCOfficial;559;6;181;;;;;
116;Queens Park Rangers Football Club;1882;The Hoops, QPR;QPR;Queens Park Rangers;Loftus Road;http://www.qpr.co.uk/;OfficialQPR;3300;6;181;;;;;
117;Southampton Football Club;21/11/1885;The Saints;SFC;Southampton;St. Mary's ;http://www.saintsfc.co.uk/;officialsaints;;6;181;;;;;
118;Reading Football Club;1871;The Royals;RFC;Reading;Madejski ;http://www.readingfc.co.uk/;ReadingFC;;6;181;;;;;
119;West Ham United Football Club;1895;The Hammers ;WHUFC;West Ham ;Boleyn Ground;http://www.whufc.com/;whufc_official;;6;181;;;;;
120;Udinese Calcio;1896;Zebrette, Bianconeri, Friulani;UC;Udinese;Friuli;http://www.udinese.it/;Udinese_1896 ;64;4;118;;;;;
121;Società Sportiva Lazio;01/09/1900;Biancocelesti, Biancazzurri, Aquile, Aquilotti;SSL;Lazio;Olimpico di Roma;http://www.sslazio.it/;officialsslazio;53;4;118;;;;;
122;Società Sportiva Calcio Napoli ;1904;Azzurri, Partenopei;SSCN;Napoli;San Paolo;http://www.sscnapoli.it/;SSCNapoli_it;726;4;118;;;;;
123;Football Club Internazionale Milano;03/09/1908;Nerazzurro, Beneamata, Biscione;FCIM;Inter;Giuseppe Meazza ;http://www.inter.it/;inter;51;4;118;;;;;
124;Associazione Sportiva Roma;22/7/1927;"Giallorossi, Lupi; Magica";ASR;Roma;Olimpico di Roma;http://www.asroma.it/;OfficialASRoma;61;4;118;;;;;
125;Parma Football Club;27/7/1913;Crociati, Gialloblu;PFC;Parma;Ennio Tardini;http://www.fcparma.com/;fcparmacalcio;59;4;118;;;;;
